연도,시도명,시군구명,축제명,개최기간,주최/주관,최초개최년도,예산합계,국비,지방비,기타,축제종류,조직형태,방문객수합계,내국인,외국인,개최장소,개최방식
2023,강원도,원주시,원주삼토페스티벌,09.14.~09.17.,농촌지도자원주시연합회,2003,500,0,500.0,0.0,전통역사,농업인단체,0.0,0.0,0.0,종합운동장 일원,대면
2023,강원도,원주시,2023 원주다이내믹댄싱카니발,09.22.~09.24.,원주문화재단,2011,1310,30,1280.0,0.0,문화예술,재단법인,0.0,0.0,0.0,댄싱공연장 일원,대면
2023,강원도,원주시,치악산한우축제,10월 중,농업기술센터 축산과,2015,80,0,80.0,0.0,특산물,공공,60.0,60.0,0.0,댄싱공연장 주차장,대면
2023,강원도,원주시,원주 독서대전,10월 중,평생교육원 시립중앙 도서관,2022,100,20,80.0,0.0,문화예술,공공,1.0,1.0,0.0,시립중앙도서관,대면
2023,강원도,원주시,원주 평생학습 축제,10.06.~10.07.,원주시 평생교육원 학습관,2021,45,0,45.0,0.0,기타(주민화합),공공,0.0,0.0,0.0,원주문화원 일원,대면
2023,강원도,원주시,치악산배축제,11월 중,치악산배원주시협의회,1998,22,0,20.0,2.0,특산물,농업인단체,63.0,63.0,0.0,원주원예농협 하나로마트광장,대면
2023,강원도,강릉시,2023 경포벚꽃잔치,4월 중,,1993,220,0,220.0,0.0,기타,,36.0,36.0,0.0,경포대 및 경포호 일원,대면
2023,강원도,강릉시,강릉단오제,06.18.~06.25.,"(사)강릉단오제위원회,(사)강릉단오제보존회",,1428,0,1428.0,0.0,전통역사,민간단체,159.0,159.0,0.0,강릉남대천 둔치 일원,대면
2023,강원도,강릉시,강릉문화재야행,07.06.~07.09.,강릉시(강릉문화원),,1224,490,734.0,0.0,기타,민간단체,106.0,104.0,2.0,강릉대도호부관아일원,대면
2023,강원도,강릉시,제2회 강릉 비치비어페스티벌,07.07.~07.09.,강릉비치비어페스티벌추진위원회,2019,200,100,100.0,0.0,기타,민간단체,9.0,7.0,2.0,경포해변 중앙광장,대면
2023,강원도,강릉시,주문진해변축제,07.08.~08.21.,주문진해수욕장운영위원회,2004,40,0,30.0,10.0,기타,민간단체,15.0,0.0,15.0,주문진해수욕장,대면
2023,강원도,강릉시,2023 경포 썸머 페스티벌,08.01.~08.04.,,1998,400,0,400.0,0.0,기타,,120.0,120.0,0.0,경포해변 일원,대면
2023,강원도,강릉시,제2회 강릉 와인축제,9월 중,강릉문화재단,2022,290,0,290.0,0.0,기타,재단법인,0.0,0.0,0.0,강릉시 일원,대면
2023,강원도,강릉시,제15회 강릉 커피축제,10.06.~10.09.,강릉문화재단,2009,45,30,15.0,0.0,문화예술,재단법인,20.0,20.0,0.0,강릉시 일원,대면
2023,강원도,강릉시,주문진오징어축제,10.06.~10.09.,주문진청년회의소,1999,90,0,72.0,18.0,기타,민간단체,18.0,18.0,0.0,주문진항 물량장,대면
2023,강원도,강릉시,2023 강릉 누들 축제,11.10.~11.12.,,2022,200,100,100.0,0.0,특산물,,63.1,63.0,0.1,월화거리,대면
2023,강원도,강릉시,2024 해돋이 행사,23.12.31.~`24.01.01.,,,138,0,138.0,0.0,기타,,199.2,199.0,0.2,"경포해변, 정동진",대면
2023,강원도,동해시,2023 부곡동 유천문화축제,5월 중,부곡동주민자체위원회,2003,10,0,10.0,0.0,주민화합,비영리단체,50.0,50.0,0.0,부곡동 수원지 일원,대면
2023,강원도,동해시,제2회 묵호도째비페스타,7월 중,동해문화관광재단,2022,240,0,240.0,0.0,문화관광,재단법인,30.0,30.0,0.0,묵호여객터미널광장일원,대면
2023,강원도,동해시,제3회 송정오감막걸리축제,9월 중,송정오감막걸리축제추진위원회,2019,70,0,20.0,50.0,특산물,사회단체 협의체(비상설),50.2,50.0,0.2,동해역광장,대면
2023,강원도,동해시,제36회 동해무릉제,9월 중,동해문화관광재단,1984,700,0,700.0,0.0,문화예술,재단법인,30.2,30.0,0.2,동해웰빙스포츠타운,대면
2023,강원도,동해시,"제3회 동해시 평생학습축제
(책문화 축제 병행 운영)",10월 중,동해시,2018,160,0,160.0,0.0,문화예술,공공,8.0,8.0,0.0,동해웰빙스포츠타운,대면
